,title,runtime,rating,genre,summary,gross,release_year,matches,category,nominee,oscar_year,winner
68,Django Unchained,165 min,R,"Drama, Western","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.","162,805,434.00",2012,Django Unchained,Best Picture,Django Unchained,2013,0
69,Lincoln,150 min,PG-13,"Biography, Drama, History","As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.","182,207,973.00",2012,Lincoln,Best Picture,Lincoln,2013,0
70,The Tree of Life,139 min,PG-13,"Drama, Fantasy","The story of a family in Waco, Texas in The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.","13,303,319.00",2011,The Tree of Life,Best Picture,The Tree of Life,2012,0
71,Extremely Loud & Incredibly Close,129 min,PG-13,"Adventure, Drama, Mystery","A nine-year-old amateur inventor, Francophile, and pacifist searches New York City for the lock that matches a mysterious key left behind by his father, who died in the World Trade Center on September 11, 2001.","31,847,881.00",2011,Extremely Loud & Incredibly Close,Best Picture,Extremely Loud & Incredibly Close,2012,0
72,The Artist,100 min,PG-13,"Comedy, Drama, Romance",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,"44,671,682.00",2011,The Artist,Best Picture,The Artist,2012,1
73,Midnight in Paris,94 min,PG-13,"Comedy, Fantasy, Romance","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.","56,816,662.00",2011,Midnight in Paris,Best Picture,Midnight in Paris,2012,0
74,Hugo,126 min,PG,"Adventure, Drama, Family","In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton.","73,864,507.00",2011,Hugo,Best Picture,Hugo,2012,0
75,Moneyball,133 min,PG-13,"Biography, Drama, Sport",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,"75,605,492.00",2011,Moneyball,Best Picture,Moneyball,2012,0
76,War Horse,146 min,PG-13,"Action, Adventure, Drama",Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.,"79,884,879.00",2011,War Horse,Best Picture,War Horse,2012,0
77,The Descendants,115 min,R,"Comedy, Drama",A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.,"82,584,160.00",2011,The Descendants,Best Picture,The Descendants,2012,0
78,The Help,146 min,PG-13,Drama,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.","169,708,112.00",2011,The Help,Best Picture,The Help,2012,0
79,Winter's Bone,100 min,R,"Drama, Mystery",An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.,"6,531,503.00",2010,Winter's Bone,Best Picture,Winter's Bone,2011,0
