,title,runtime,rating,genre,summary
46,147.Chocolat(2000),121 min,PG-13,"Drama, Romance",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
47,"148.Crouching Tiger, Hidden Dragon(2000)",120 min,PG-13,"Action, Adventure, Drama","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
48,149.Erin Brockovich(2000),131 min,R,"Biography, Drama",
49,150.Traffic(2000),147 min,R,"Crime, Drama, Thriller","Set in the 1930s, this movie brings a group of pretentious rich and famous together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect."
50,151.American Beauty(1999),122 min,R,Drama,A New England couple's college-aged son dates an older woman who has two small children and an unwelcome ex-husband.
51,152.The Cider House Rules(1999),126 min,PG-13,"Drama, Romance",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
52,153.The Green Mile(1999),189 min,R,"Crime, Drama, Fantasy",A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star coveted by a jealous duke.
53,154.The Insider(1999),157 min,R,"Biography, Drama, Thriller",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
54,155.The Sixth Sense(1999),107 min,PG-13,"Drama, Mystery, Thriller",
55,156.Shakespeare in Love(1998),123 min,R,"Comedy, Drama, History",A French woman and her young daughter open up a chocolate shop in a small remote village that shakes up the rigid morality of the community.
56,157.Elizabeth(1998),124 min,R,"Biography, Drama, History",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
57,158.Life Is Beautiful(1997),116 min,PG-13,"Comedy, Drama, Romance",An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.
58,159.Saving Private Ryan(1998),169 min,R,"Drama, War","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
59,160.The Thin Red Line(1998),170 min,R,"Drama, History, War",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
60,161.Titanic(1997),194 min,PG-13,"Drama, Romance",
61,162.As Good as It Gets(1997),139 min,PG-13,"Comedy, Drama, Romance","A compassionate young man, raised in an orphanage and trained to be a doctor there, decides to leave to see the world."
62,163.The Full Monty(1997),91 min,R,"Comedy, Drama","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
