,category,nominee,year,winner
551,Writing (Original Story),The Story of Louis Pasteur,1937,1.0
552,Writing (Original Story),Fury,1937,0.0
553,Writing (Original Story),The Great Ziegfeld,1937,0.0
554,Writing (Original Story),San Francisco,1937,0.0
555,Writing (Original Story),Three Smart Girls,1937,0.0
556,Writing (Screenplay),The Story of Louis Pasteur,1937,1.0
557,Writing (Screenplay),After the Thin Man,1937,0.0
558,Writing (Screenplay),Dodsworth,1937,0.0
559,Writing (Screenplay),Mr. Deeds Goes to Town,1937,0.0
560,Writing (Screenplay),My Man Godfrey,1937,0.0
561,Actor,Spencer Tracy,1938,1.0
563,Actor,Charles Boyer,1938,0.0
564,Actor,Fredric March,1938,1.0
565,Actor,Robert Montgomery,1938,0.0
566,Actor,Paul Muni,1938,1.0
567,Actor in a Supporting Role,Joseph Schildkraut,1938,1.0
568,Actor in a Supporting Role,Ralph Bellamy,1938,0.0
569,Actor in a Supporting Role,Thomas Mitchell,1938,1.0
570,Actor in a Supporting Role,H. B. Warner,1938,0.0
571,Actor in a Supporting Role,Roland Young,1938,0.0
572,Actress,Luise Rainer,1938,1.0
574,Actress,Irene Dunne,1938,0.0
575,Actress,Greta Garbo,1938,0.0
576,Actress,Janet Gaynor,1938,1.0
577,Actress,Barbara Stanwyck,1938,0.0
578,Actress in a Supporting Role,Alice Brady,1938,1.0
579,Actress in a Supporting Role,Andrea Leeds,1938,0.0
580,Actress in a Supporting Role,Anne Shirley,1938,0.0
581,Actress in a Supporting Role,Claire Trevor,1938,1.0
582,Actress in a Supporting Role,Dame May Whitty,1938,0.0
583,Art Direction,Lost Horizon,1938,1.0
584,Art Direction,Conquest,1938,0.0
585,Art Direction,A Damsel in Distress,1938,0.0
586,Art Direction,Dead End,1938,0.0
587,Art Direction,Every Day's a Holiday,1938,0.0
588,Art Direction,The Life of Emile Zola,1938,0.0
589,Art Direction,Manhattan Merry-Go-Round,1938,0.0
590,Art Direction,The Prisoner of Zenda,1938,0.0
591,Art Direction,Souls at Sea,1938,0.0
592,Art Direction,Walter Wanger's Vogues of 1938,1938,0.0
593,Art Direction,Wee Willie Winkie,1938,0.0
594,Art Direction,You're a Sweetheart,1938,0.0
595,Assistant Director,In Old Chicago,1938,1.0
596,Assistant Director,The Life of Emile Zola,1938,0.0
597,Assistant Director,Lost Horizon,1938,0.0
598,Assistant Director,Souls at Sea,1938,0.0
599,Assistant Director,A Star Is Born,1938,0.0
600,Cinematography,The Good Earth,1938,1.0
601,Cinematography,Dead End,1938,0.0
602,Cinematography,Wings over Honolulu,1938,0.0
603,Dance Direction,A Damsel in Distress,1938,1.0
604,Dance Direction,Varsity Show,1938,0.0
605,Dance Direction,"Ready, Willing and Able",1938,0.0
606,Dance Direction,A Day at the Races,1938,0.0
607,Dance Direction,Ali Baba Goes to Town,1938,0.0
608,Dance Direction,Thin Ice,1938,0.0
609,Dance Direction,Waikiki Wedding,1938,0.0
610,Directing,The Awful Truth,1938,1.0
611,Directing,The Good Earth,1938,0.0
612,Directing,The Life of Emile Zola,1938,0.0
613,Directing,Stage Door,1938,0.0
614,Directing,A Star Is Born,1938,0.0
615,Film Editing,Lost Horizon,1938,1.0
616,Film Editing,The Awful Truth,1938,0.0
617,Film Editing,Captains Courageous,1938,0.0
618,Film Editing,The Good Earth,1938,0.0
619,Film Editing,One Hundred Men and a Girl,1938,0.0
620,Irving G. Thalberg Memorial Award,,1938,1.0
658,Music (Scoring),One Hundred Men and a Girl,1938,1.0
659,Music (Scoring),The Hurricane,1938,0.0
660,Music (Scoring),In Old Chicago,1938,0.0
661,Music (Scoring),The Life of Emile Zola,1938,0.0
662,Music (Scoring),Lost Horizon,1938,0.0
663,Music (Scoring),Make a Wish,1938,0.0
664,Music (Scoring),Maytime,1938,0.0
665,Music (Scoring),Portia on Trial,1938,0.0
