,title,rating,genre,summary,gross,release_year,category,nominee,oscar_year,winner,genre_1,genre_2,genre_3,runtime_min,Year,avg_cpi,cpi_2020,gross_adjusted
76,War Horse,PG-13,"Action, Adventure, Drama",Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on.,79884879,2011,Best Picture,War Horse,2012,0,Action, Adventure, Drama,146,2012,229.5939167,258.811167,90050725.46
77,The Descendants,R,"Comedy, Drama",A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.,82584160,2011,Best Picture,The Descendants,2012,0,Comedy, Drama,,115,2012,229.5939167,258.811167,93093506.71
78,The Help,PG-13,Drama,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",169708112,2011,Best Picture,The Help,2012,0,Drama,,,146,2012,229.5939167,258.811167,191304522.1
79,Winter's Bone,R,"Drama, Mystery",An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.,6531503,2010,Best Picture,Winter's Bone,2011,0,Drama, Mystery,,100,2011,224.9391667,258.811167,7515035.903
80,127 Hours,R,"Biography, Drama","A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.",18335230,2010,Best Picture,127 Hours,2011,0,Biography, Drama,,94,2011,224.9391667,258.811167,21096202.78
81,The Kids Are All Right,R,"Comedy, Drama, Romance",Two children conceived by artificial insemination bring their biological father into their non-traditional family life.,20811365,2010,Best Picture,The Kids Are All Right,2011,0,Comedy, Drama, Romance,106,2011,224.9391667,258.811167,23945201.46
82,The Fighter,R,"Action, Biography, Drama","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",93617009,2010,Best Picture,The Fighter,2011,0,Action, Biography, Drama,116,2011,224.9391667,258.811167,107714133.1
83,The Social Network,PG-13,"Biography, Drama","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",96962694,2010,Best Picture,The Social Network,2011,0,Biography, Drama,,120,2011,224.9391667,258.811167,111563621.2
84,Black Swan,R,"Drama, Thriller","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",106954678,2010,Best Picture,Black Swan,2011,0,Drama, Thriller,,108,2011,224.9391667,258.811167,123060227.5
85,The King's Speech,R,"Biography, Drama, History","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",138797449,2010,Best Picture,The King's Speech,2011,1,Biography, Drama, History,118,2011,224.9391667,258.811167,159697976.5
